primary_type,date,latitude,longitude
ASSAULT,2025-03-16 20:20:00,41.820579224,-87.688459065
WEAPONS VIOLATION,2025-03-16 20:17:00,41.962291,-87.658239
THEFT,2025-03-16 20:10:00,41.778340981,-87.703122242
MOTOR VEHICLE THEFT,2025-03-16 20:04:00,41.9603617,-87.776354951
MOTOR VEHICLE THEFT,2025-03-16 20:00:00,41.925980147,-87.754870316
THEFT,2025-03-16 20:00:00,41.789247208,-87.62188894
OTHER OFFENSE,2025-03-16 20:00:00,41.938743235,-87.640782775
MOTOR VEHICLE THEFT,2025-03-16 20:00:00,41.756767255,-87.595155761
THEFT,2025-03-16 20:00:00,41.981867808,-87.655854904
BATTERY,2025-03-16 20:00:00,41.777922956,-87.593014081
MOTOR VEHICLE THEFT,2025-03-16 20:00:00,41.975773105,-87.705103499
THEFT,2025-03-16 20:00:00,41.751295659,-87.555309535
BATTERY,2025-03-16 19:50:00,41.87746791,-87.762637221
ASSAULT,2025-03-16 19:48:00,41.765666388,-87.705870836
WEAPONS VIOLATION,2025-03-16 19:48:00,41.892289009,-87.744582066
CRIMINAL SEXUAL ASSAULT,2025-03-16 19:45:00,41.868518128,-87.624113021
CRIMINAL DAMAGE,2025-03-16 19:30:00,41.774125258,-87.609441256
THEFT,2025-03-16 19:30:00,41.905642146,-87.688327434
BATTERY,2025-03-16 19:30:00,41.841792927,-87.70739932
THEFT,2025-03-16 19:29:00,41.88171846,-87.627760426
OTHER OFFENSE,2025-03-16 19:23:00,41.751296014,-87.604321648
WEAPONS VIOLATION,2025-03-16 19:19:00,41.880498008,-87.72322311
BURGLARY,2025-03-16 19:18:00,41.817604432,-87.598015977
THEFT,2025-03-16 19:10:00,41.890300892,-87.631088915
BATTERY,2025-03-16 19:09:00,41.93871347,-87.656499322
ASSAULT,2025-03-16 19:08:00,41.733068435,-87.55133095
MOTOR VEHICLE THEFT,2025-03-16 19:00:00,41.683349285,-87.635236458
THEFT,2025-03-16 19:00:00,41.906860564,-87.723997108
THEFT,2025-03-16 19:00:00,41.947880549,-87.752992442
CRIMINAL DAMAGE,2025-03-16 19:00:00,41.961136959,-87.712431647
ROBBERY,2025-03-16 19:00:00,41.79505385,-87.671904413
BATTERY,2025-03-16 19:00:00,42.014614824,-87.672434636
OTHER OFFENSE,2025-03-16 19:00:00,41.682356221,-87.646229658
BATTERY,2025-03-16 19:00:00,41.892694698,-87.626750816
ASSAULT,2025-03-16 19:00:00,41.82524995,-87.631348961
CRIMINAL DAMAGE,2025-03-16 19:00:00,41.932188777,-87.686193106
BATTERY,2025-03-16 18:50:00,41.858456599,-87.711535419
THEFT,2025-03-16 18:50:00,41.780720487,-87.658233016
ASSAULT,2025-03-16 18:48:00,41.86412761,-87.70925941
THEFT,2025-03-16 18:47:00,41.798569683,-87.743533609
DECEPTIVE PRACTICE,2025-03-16 18:47:00,41.933433923,-87.641362086
BATTERY,2025-03-16 18:46:00,41.850957006,-87.710103181
THEFT,2025-03-16 18:45:00,41.955113932,-87.677483468
CRIMINAL TRESPASS,2025-03-16 18:45:00,41.868172512,-87.774229791
THEFT,2025-03-16 18:39:00,41.939315143,-87.70942733
THEFT,2025-03-16 18:38:00,41.802101704,-87.587747851
NARCOTICS,2025-03-16 18:35:00,41.79993372,-87.703743243
BATTERY,2025-03-16 18:33:00,41.751438412,-87.552889084
OFFENSE INVOLVING CHILDREN,2025-03-16 18:30:00,41.783897461,-87.704494139
BATTERY,2025-03-16 18:30:00,41.710087981,-87.641704357
THEFT,2025-03-16 18:28:00,41.885901992,-87.632455489
BATTERY,2025-03-16 18:20:00,41.998489063,-87.683811102
CRIMINAL TRESPASS,2025-03-16 18:19:00,41.797504979,-87.763669942
THEFT,2025-03-16 18:16:00,41.803671998,-87.703846021
WEAPONS VIOLATION,2025-03-16 18:16:00,41.72049639,-87.536498158
THEFT,2025-03-16 18:15:00,41.879381337,-87.634201201
BATTERY,2025-03-16 18:04:00,41.72044321,-87.675988757
OFFENSE INVOLVING CHILDREN,2025-03-16 18:00:00,41.966654524,-87.705178388
THEFT,2025-03-16 18:00:00,41.884484068,-87.623213022
CRIMINAL DAMAGE,2025-03-16 18:00:00,41.788987036,-87.74147999
MOTOR VEHICLE THEFT,2025-03-16 18:00:00,41.765253769,-87.615255549
NARCOTICS,2025-03-16 18:00:00,41.885721129,-87.747088202
CRIMINAL DAMAGE,2025-03-16 18:00:00,42.015452442,-87.681666113
THEFT,2025-03-16 18:00:00,41.75605979,-87.647042032
DECEPTIVE PRACTICE,2025-03-16 18:00:00,41.781731648,-87.587862886
BURGLARY,2025-03-16 18:00:00,41.766922071,-87.715777802
OTHER OFFENSE,2025-03-16 17:53:00,41.991051783,-87.714005983
NARCOTICS,2025-03-16 17:50:00,41.896544837,-87.637532796
OFFENSE INVOLVING CHILDREN,2025-03-16 17:33:00,41.876005082,-87.71084027
BATTERY,2025-03-16 17:32:00,41.992387113,-87.681106884
MOTOR VEHICLE THEFT,2025-03-16 17:30:00,41.920103983,-87.641609006
BURGLARY,2025-03-16 17:30:00,41.692466521,-87.633072858
CRIMINAL DAMAGE,2025-03-16 17:30:00,41.837489008,-87.646264459
CRIMINAL DAMAGE,2025-03-16 17:30:00,41.85314779,-87.671981602
CRIMINAL DAMAGE,2025-03-16 17:30:00,41.876046127,-87.754905906
DECEPTIVE PRACTICE,2025-03-16 17:30:00,41.879104092,-87.62434115
THEFT,2025-03-16 17:30:00,41.879104092,-87.62434115
THEFT,2025-03-16 17:30:00,42.009380303,-87.688112059
OTHER OFFENSE,2025-03-16 17:29:00,41.836622296,-87.70480759
WEAPONS VIOLATION,2025-03-16 17:28:00,41.860690601,-87.72540845
BATTERY,2025-03-16 17:19:00,41.953403242,-87.748387407
BURGLARY,2025-03-16 17:18:00,41.888045958,-87.625413826
THEFT,2025-03-16 17:15:00,41.868107536,-87.632778394
DECEPTIVE PRACTICE,2025-03-16 17:15:00,41.958186608,-87.729346795
WEAPONS VIOLATION,2025-03-16 17:12:00,41.706104607,-87.618609472
MOTOR VEHICLE THEFT,2025-03-16 17:10:00,41.870932257,-87.744921277
BATTERY,2025-03-16 17:09:00,41.891135724,-87.628049777
CRIMINAL DAMAGE,2025-03-16 17:04:00,41.903204113,-87.676505208
OTHER OFFENSE,2025-03-16 17:03:00,41.947922649,-87.710740281
MOTOR VEHICLE THEFT,2025-03-16 17:00:00,41.761529376,-87.615194446
CRIMINAL DAMAGE,2025-03-16 17:00:00,41.716679404,-87.62274113
BATTERY,2025-03-16 17:00:00,41.812965403,-87.688245651
BATTERY,2025-03-16 17:00:00,41.992450247,-87.681109918
CRIMINAL DAMAGE,2025-03-16 17:00:00,41.660155434,-87.634100042
BATTERY,2025-03-16 17:00:00,41.691818515,-87.67815489
OTHER OFFENSE,2025-03-16 16:59:00,41.940919688,-87.771444519
THEFT,2025-03-16 16:55:00,41.923670468,-87.786426561
NARCOTICS,2025-03-16 16:50:00,41.851808053,-87.702122648
WEAPONS VIOLATION,2025-03-16 16:48:00,41.860638954,-87.729142327
THEFT,2025-03-16 16:47:00,41.90885825,-87.646656908
NARCOTICS,2025-03-16 16:45:00,42.018498254,-87.672983233
BATTERY,2025-03-16 16:41:00,41.692835539,-87.604154667
BATTERY,2025-03-16 16:30:00,41.771539896,-87.650645583
THEFT,2025-03-16 16:30:00,41.974861952,-87.890372151
CRIMINAL DAMAGE,2025-03-16 16:30:00,41.863975503,-87.708034718
MOTOR VEHICLE THEFT,2025-03-16 16:30:00,41.793166018,-87.665777722
MOTOR VEHICLE THEFT,2025-03-16 16:30:00,41.7477322,-87.596310995
ASSAULT,2025-03-16 16:30:00,41.729618252,-87.551244573
THEFT,2025-03-16 16:30:00,41.884497778,-87.625878988
WEAPONS VIOLATION,2025-03-16 16:29:00,41.752147383,-87.603989513
ASSAULT,2025-03-16 16:28:00,41.841187993,-87.643927556
ASSAULT,2025-03-16 16:27:00,41.829651528,-87.614451899
THEFT,2025-03-16 16:24:00,41.807887928,-87.722790148
BATTERY,2025-03-16 16:22:00,41.816142361,-87.599401026
DECEPTIVE PRACTICE,2025-03-16 16:20:00,41.909608499,-87.747380344
OTHER OFFENSE,2025-03-16 16:12:00,41.857824309,-87.664452298
BATTERY,2025-03-16 16:10:00,41.881096485,-87.755091706
OTHER OFFENSE,2025-03-16 16:07:00,41.775750654,-87.771411071
NARCOTICS,2025-03-16 16:05:00,41.900863425,-87.724329624
BURGLARY,2025-03-16 16:03:00,41.968443218,-87.709106412
THEFT,2025-03-16 16:02:00,41.757614433,-87.586115266
MOTOR VEHICLE THEFT,2025-03-16 16:00:00,41.771470042,-87.71641237
CRIMINAL DAMAGE,2025-03-16 16:00:00,41.966647296,-87.706366149
MOTOR VEHICLE THEFT,2025-03-16 16:00:00,41.8032982,-87.653195042
ROBBERY,2025-03-16 16:00:00,41.720450477,-87.553809943
