primary_type,date,latitude,longitude,temperature,humidity,wind_speed
OTHER OFFENSE,2025-03-07 21:30:00,41.753683408,-87.652608637,0.97,72,0.45
HOMICIDE,2025-03-07 21:29:00,41.848986896,-87.733344385,0.97,72,0.45
THEFT,2025-03-07 21:25:00,41.948602785,-87.648031778,0.97,72,0.45
OTHER OFFENSE,2025-03-07 21:22:00,41.87842899,-87.75835446,0.97,72,0.45
BATTERY,2025-03-07 21:21:00,41.976762981,-87.900983721,0.97,72,0.45
CRIMINAL DAMAGE,2025-03-07 21:09:00,41.791491872,-87.716821819,0.97,72,0.45
CRIMINAL DAMAGE,2025-03-07 21:08:00,41.895870035,-87.758076837,0.97,72,0.45
CRIMINAL DAMAGE,2025-03-07 21:00:00,41.856833659,-87.708302515,0.97,72,0.45
KIDNAPPING,2025-03-07 21:00:00,41.715913582,-87.57463971,0.97,72,0.45
BURGLARY,2025-03-07 21:00:00,41.92265785,-87.782981142,0.97,72,0.45
SEX OFFENSE,2025-03-07 21:00:00,41.781669476,-87.72650741,0.97,72,0.45
CRIMINAL DAMAGE,2025-03-07 20:54:00,41.846194994,-87.716579511,0.97,72,0.45
ARSON,2025-03-07 20:52:00,41.848986896,-87.733344385,0.97,72,0.45
THEFT,2025-03-07 20:40:00,41.830441145,-87.670923807,0.97,72,0.45
THEFT,2025-03-07 20:37:00,41.773320568,-87.587465382,0.97,72,0.45
ASSAULT,2025-03-07 20:32:00,41.904947605,-87.68051351,0.97,72,0.45
MOTOR VEHICLE THEFT,2025-03-07 20:30:00,41.86187256,-87.716505967,0.97,72,0.45
CRIMINAL DAMAGE,2025-03-07 20:30:00,41.869959277,-87.714353824,0.97,72,0.45
ASSAULT,2025-03-07 20:30:00,41.743387373,-87.60136976,0.97,72,0.45
ROBBERY,2025-03-07 20:30:00,41.895826124,-87.726096446,0.97,72,0.45
MOTOR VEHICLE THEFT,2025-03-07 20:30:00,41.882885017,-87.769852743,0.97,72,0.45
OTHER OFFENSE,2025-03-07 20:27:00,41.767528356,-87.669958503,0.97,72,0.45
NARCOTICS,2025-03-07 20:23:00,41.743031783,-87.605008748,0.97,72,0.45
