primary_type,date,latitude,longitude,name,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
BATTERY,2025-03-18 22:00:00,41.851436512,-87.646460241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY,2025-03-18 22:00:00,41.898642738,-87.749577975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY,2025-03-18 22:00:00,41.789406165,-87.668112217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRIMINAL DAMAGE,2025-03-18 22:00:00,41.852670072,-87.6942409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRIMINAL DAMAGE,2025-03-18 22:00:00,41.87979721,-87.696251029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEFT,2025-03-18 21:59:00,41.796956837,-87.668309189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY,2025-03-18 21:57:00,41.879893301,-87.627721751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROSTITUTION,2025-03-18 21:52:00,41.802980697,-87.74425237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSAULT,2025-03-18 21:50:00,41.652862356,-87.604722771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTOR VEHICLE THEFT,2025-03-18 21:50:00,41.792174878,-87.619157607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTHER OFFENSE,2025-03-18 21:49:00,41.885763413,-87.706261528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBBERY,2025-03-18 21:48:00,41.7741362,-87.703027762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTHER OFFENSE,2025-03-18 21:48:00,41.773407549,-87.621506778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROSTITUTION,2025-03-18 21:45:00,41.803983231,-87.74228461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
